timestamp,original,translated
2025-05-06 20:30:21.525041,"There's no GitHub then there's no software to download. You have to build everything from scratch. So, you know, we take a day or two build something and it works on toy problems. We give it a real.","GitHub가 없다면 다운로드할 소프트웨어가 없으니, 전부 처음부터 구축해야 합니다. 그래서 우리는 하루나 이틀 정도 투자해 무언가를 만들고 장난감 문제에서는 작동하는 것을 확인합니다. 그리고 실제 환경에서도 작동하도록 합니다."
2025-05-06 20:30:28.887195,"problem and it runs overnight, it doesn't converge to an answer. We let it run the second night, still doesn't converge. And then we just throw it away and say,",문제는 밤새도록 돌려도 답으로 수렴하지 않아요. 두 번째 밤을 줘도 여전히 수렴하지 않아 결국 포기하고 버리는 거죠.
2025-05-06 20:30:41.522298,that this stuff doesn't work. And I wish I still had that program because I could probably run it on a GPU cluster now and in a second I would have the right answer.,이 방법이 제대로 작동하지 않아요. 그리고 그 프로그램이 아직 있었으면 좋겠어요. 지금 GPU 클러스터에서 실행하면 거의 즉시 정확한 답을 얻을 수 있었을 거예요.
2025-05-06 20:30:47.113539,"And so that's a big change. I think there's also a change that there's just so much going on, right?","그리고 그래서 큰 변화네요. 정말 많은 일들이 벌어지고 있다는 점도 변화일 것 같아요, 맞죠?"
2025-05-06 20:30:55.595512,"So when I was a student, you could keep up with everything that was happening. I remember going to the library.",당시 학생 시절에는 모든 일에 뒤처지지 않고 따라갈 수 있었습니다. 도서관에 가는 것을 기억합니다.
2025-05-06 20:31:05.833044,"at my university and the call letters that I was most interested in, I remember, was QA76. And you go to there and there's a shelf of books.",대학교 도서관에서 특히 관심 있었던 과목은 QA76였던 것으로 기억합니다. 거기 가면 책장이 있어요.
2025-05-06 20:31:16.347241,"that's about three feet long, and you can read all those books. And that's all there is. There's nothing else available. And, you know, maybe then you could start reading some books.","그 책꽂이는 약 세 뼘 길이고, 저기 모든 책을 읽을 수 있어요. 그게 전부예요. 더 이상은 없어요. 그러니 아마도 책 읽기 시작할 수 있겠죠?"
2025-05-06 20:31:23.549741,"some research articles and they come out slowly once a year. And now it's every week, there's a dozen new papers.","일부 연구 논문들이 연간 한 번씩 느리게 발표되었는데, 지금은 매주 새로운 논문이 십 편 이상씩 나오고 있습니다."
2025-05-06 20:31:35.022278,"of exciting breakthroughs. And so you can't keep up with everything. You know, I think we try to say we're building what we",놀라운 발전들 때문에 모든 것을 따라잡기 어려워요. 아마 우리는 우리가 무엇을 만들고 있다고 말하려고 노력하는 것 같아요.
2025-05-06 20:31:42.551272,think is this shared knowledge. Here's how our field has evolved and here's what everybody should know. And I feel like that can be a big part of our community.,"이것이 공유된 지식이라고 생각합니다. 우리 분야가 어떻게 발전해왔는지, 그리고 누구나 알아야 할 내용들을 소개합니다. 이 부분이 우리 커뮤니티에 큰 역할을 할 수 있다고 느낍니다."
2025-05-06 20:31:50.028413,really be done anymore because one there's just too much of it. It goes in too many different directions and two it changes so quickly and,"더 이상 진정으로 할 수 없게 되었는데, 첫째로 양이 너무 많고, 둘째로 변화 속도가 너무 빠르기 때문입니다."
2025-05-06 20:32:00.273057,"that if you thought you were finished with a book this week, next week, there'd be something new. So we need something that's more interactive, more","만약 이번 주에 책을 다 읽었다고 생각하셨다면, 다음 주에는 새로운 무언가가 있을 거예요. 그래서 우리는 더 상호작용적이고, 더"
2025-05-06 20:32:09.148647,"focused on what you're interested in, more continual learning rather than saying, you're gonna learn this specific thing and then you're done, right?","관심 있는 분야에 집중하고, 특정한 것을 배우고 끝이라는 식의 지속적인 학습이 아닌, 지속적으로 배우는 것에 초점을 맞추는 것이죠?"
2025-05-06 20:32:13.581892,that you know we've come to this system where you go,"우리가 이 시스템에 도달했다는 것을 당신이 알고 있다는 거죠, 당신이 가는 곳에 대한 거예요."
2025-05-06 20:32:17.080130,go to a college for four years and then they give you a,대학교에 4년 동안 다니면 그 후 학위를 줍니다.
2025-05-06 20:32:22.012651,"I don't like this idea that we've come to this system where you go to a college for four years and then they give you a piece of paper that says,",이런 생각은 싫어. 우리가 4년간 대학에 다녔다가 단지 졸업증서 한 장 받는 시스템에 이르렀다는 거지.
2025-05-06 20:32:25.339664,a piece of paper that says you never have to learn anything.,아무것도 배울 필요가 없다고 적힌 종이 한 장
2025-05-06 20:32:29.561999,"again for the rest of your life, you're certified. I think we will.","평생 동안 다시 한번 인증받게 될 거예요, 그렇게 믿어요. 그렇게 될 거예요."
2025-05-06 20:32:32.860905,want to change that to a model that's more continuing.,지속 가능한 모델로 바꾸고 싶습니다.
2025-05-06 20:32:38.936524,"you never have to learn anything again for the rest of your life, you're certified. I think we want to change that to a model that's more continuing education for you and for the rest of your life.",평생 다시 배우는 것에 대한 부담 없이 인증받으셨습니다. 그러나 앞으로는 평생 지속적인 학습을 위한 모델로 바꾸고 싶습니다.
2025-05-06 20:32:42.079300,education for your continual changes.,지속적인 변화를 위한 교육
2025-05-06 20:32:45.390601,evolving needs and for the evolving non-violence.,변화하는 요구와 변화하는 비폭력을 위해
2025-05-06 20:32:49.424202,"that's coming out every week. Yeah, the notion of lifeline.","매주 출시되고 있어요. 맞아요, 생명줄이라는 개념이요."
2025-05-06 20:32:54.672208,"your continual changing, evolving needs and for the evolving knowledge that's coming out every week. Yeah, the notion of lifelong learning, I suppose.","끊임없는 변화와 발전하는 필요에 맞춰, 매주 나오는 진화하는 지식을 위해서 말이죠. 맞아요, 평생 학습이라는 개념이네요."
2025-05-06 20:32:58.574425,"long learning I suppose. Yeah. And I mean, we","오래 배우는 거 같아요. 맞아요. 그리고 말하자면, 우리는"
2025-05-06 20:33:02.996872,We're in this odd speaking of the nature of education. We do seem to be,우리는 이런 이례적인 교육의 본질에 대해 이야기하고 있는 것 같아요. 정말 그렇게 보이네요.
